date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:43:12	86/86	---M-Z	200	added ('OK')	text/plain	date:Fri,%2016%20Aug%202024%2010:38:40%20GMT	https://techwize.com/robots.txt		(from )
16:43:12	100685/100685	---M-Z	200	added ('OK')	text/html	date:Sat,%2018%20Jan%202025%2015:43:12%20GMT	https://techwize.com/	C:/Users/HP/Desktop/techwize/techwize.com/index.html	(from )
16:43:13	1270/1270	---M--	200	added ('OK')	image/webp	date:Thu,%2002%20May%202024%2010:08:00%20GMT	https://techwize.com/assets/images/logo/apple-icon-57x57.webp	C:/Users/HP/Desktop/techwize/techwize.com/assets/images/logo/apple-icon-57x57.webp	(from https://techwize.com/)
16:43:13	1344/1344	---M--	200	added ('OK')	image/webp	date:Thu,%2002%20May%202024%2010:08:00%20GMT	https://techwize.com/assets/images/logo/apple-icon-60x60.webp	C:/Users/HP/Desktop/techwize/techwize.com/assets/images/logo/apple-icon-60x60.webp	(from https://techwize.com/)
16:43:13	1536/1536	---M--	200	added ('OK')	image/webp	date:Thu,%2002%20May%202024%2010:08:00%20GMT	https://techwize.com/assets/images/logo/apple-icon-72x72.webp	C:/Users/HP/Desktop/techwize/techwize.com/assets/images/logo/apple-icon-72x72.webp	(from https://techwize.com/)
16:43:13	1646/1646	---M--	200	added ('OK')	image/webp	date:Thu,%2002%20May%202024%2010:08:00%20GMT	https://techwize.com/assets/images/logo/apple-icon-76x76.webp	C:/Users/HP/Desktop/techwize/techwize.com/assets/images/logo/apple-icon-76x76.webp	(from https://techwize.com/)
16:43:14	2698/2698	---M--	200	added ('OK')	image/webp	date:Thu,%2002%20May%202024%2010:08:00%20GMT	https://techwize.com/assets/images/logo/apple-icon-114x114.webp	C:/Users/HP/Desktop/techwize/techwize.com/assets/images/logo/apple-icon-114x114.webp	(from https://techwize.com/)
16:43:14	2820/2820	---M--	200	added ('OK')	image/webp	date:Thu,%2002%20May%202024%2010:08:00%20GMT	https://techwize.com/assets/images/logo/apple-icon-120x120.webp	C:/Users/HP/Desktop/techwize/techwize.com/assets/images/logo/apple-icon-120x120.webp	(from https://techwize.com/)
16:43:14	3480/3480	---M--	200	added ('OK')	image/webp	date:Thu,%2002%20May%202024%2010:08:00%20GMT	https://techwize.com/assets/images/logo/apple-icon-144x144.webp	C:/Users/HP/Desktop/techwize/techwize.com/assets/images/logo/apple-icon-144x144.webp	(from https://techwize.com/)
16:43:15	3684/3684	---M--	200	added ('OK')	image/webp	date:Thu,%2002%20May%202024%2010:08:00%20GMT	https://techwize.com/assets/images/logo/apple-icon-152x152.webp	C:/Users/HP/Desktop/techwize/techwize.com/assets/images/logo/apple-icon-152x152.webp	(from https://techwize.com/)
